Light;Alga;Labeling time (sec);ADPG (Levels (nmol/gDW));Glutamic;2PG;FBP;SBP;DHAP;Malic;Aspartic;G6P;F6P;G1P;2OG;R5P;PP;Succinic;RuBP;UDPG;S7P
100 uE;Chlamy;0;4.72;105.2779862;2.41359344;0.003;40.7771694;542.2141;40.41212287;43.91255754;0.4951;231.8331;487.7489;9.341408459;3.64720099;3.116162171;18.25421047;123.14;24.08;36.24613054
100 uE;Chlamy;0;4.72;82.09126768;3.531344565;0.003;32.27874363;542.2141;41.54947868;57.84780851;0.4951;231.8331;487.7489;5.05278412;3.961849443;5.960213789;30.44662578;123.14;24.08;25.36547318
100 uE;Chlamy;0;4.72;117.7006398;3.018361527;0.003;34.26636289;542.2141;44.87681056;70.36654545;0.4951;231.8331;487.7489;8.880930569;1.228477357;1.622755332;20.75707087;123.14;24.08;31.25623257
100 uE;Chlamy;5;4.72;71.7560131;3.000555961;0.003;28.53467922;542.2141;30.30435867;47.78473795;0.4951;231.8331;487.7489;8.362476633;1.672705592;2.949756084;20.55234846;123.14;24.08;21.17070947
100 uE;Chlamy;5;4.72;62.14851383;3.634472997;0.003;23.51109576;542.2141;44.04845959;63.39501112;0.4951;231.8331;487.7489;6.971120717;5.474647058;5.80896547;51.15820296;123.14;24.08;21.56113978
100 uE;Chlamy;5;4.72;56.59415258;1.150770282;0.003;14.95986087;542.2141;22.5732322;33.01606489;0.4951;231.8331;487.7489;7.275593753;0.437066695;1.649646947;27.43300595;123.14;24.08;21.97731476
100 uE;Chlamy;10;4.72;114.7220399;2.781732062;0.003;60.60373554;542.2141;60.54985948;75.67590375;0.4951;231.8331;487.7489;6.122404784;4.982256779;6.994859648;26.40391723;123.14;24.08;31.81887594
100 uE;Chlamy;10;4.72;115.6914948;2.890907641;0.003;40.16018761;542.2141;51.78570923;60.40619064;0.4951;231.8331;487.7489;18.37539401;1.937731546;2.455174382;123.5849032;123.14;24.08;26.31044515
100 uE;Chlamy;10;4.72;450.4921095;2.960942569;0.003;33.98942384;542.2141;38.99617736;330.7731501;0.4951;231.8331;487.7489;10.55408129;4.038783913;2.143417188;33.28906168;123.14;24.08;27.93113613
100 uE;Chlamy;20;4.72;129.0113692;4.295639719;0.003;28.28082564;542.2141;82.95031671;92.60051331;0.4951;231.8331;487.7489;7.147107055;6.136866228;7.914435869;42.69328661;123.14;24.08;45.57141656
100 uE;Chlamy;20;4.72;172.1716927;2.733567602;0.003;61.47675877;542.2141;82.14408689;141.6027541;0.4951;231.8331;487.7489;8.886893064;8.087270567;7.810706429;32.60853745;123.14;24.08;25.81595758
100 uE;Chlamy;20;4.72;135.5534128;5.845273989;0.003;34.6571886;542.2141;38.70100705;59.18250474;0.4951;231.8331;487.7489;5.974827424;2.202018354;4.039844371;16.14862942;123.14;24.08;16.46230064
100 uE;Chlamy;40;4.72;94.43157567;2.05997043;0.003;16.88986488;542.2141;36.60278854;82.04695904;0.4951;231.8331;487.7489;8.888066157;2.388279116;4.875428282;22.16934504;123.14;24.08;28.19714028
100 uE;Chlamy;40;4.72;134.2949956;2.158954206;0.003;14.79201578;542.2141;27.97275456;70.97360012;0.4951;231.8331;487.7489;4.604030071;1.877763161;1.516460943;12.65971135;123.14;24.08;20.48556901
100 uE;Chlamy;40;4.72;50.54524768;1.20560882;0.003;8.222808968;542.2141;23.37133149;73.13104617;0.4951;231.8331;487.7489;6.789613293;2.773465765;3.514325754;16.65979326;123.14;24.08;12.49916191
100 uE;Sorokiniana;0;16.88;1750.089395;4.649749213;0.003;59.86927342;0.000501646;1250.419209;1317.286302;75.8345276;2823.7242;931.0379;46.09338343;11.5831545;31.72253023;55.92409412;1394.30;68.78;99.73459239
100 uE;Sorokiniana;0;16.88;1592.789091;7.242878255;0.003;52.13883412;0.000501646;1416.048744;2110.755449;75.8345276;2823.7242;931.0379;24.57073685;28.5488438;56.70343205;39.32720913;1394.30;68.78;99.71763184
100 uE;Sorokiniana;0;16.88;1945.696637;6.180705517;0.003;59.68765252;0.000501646;1190.210255;1663.616929;75.8345276;2823.7242;931.0379;56.51622289;11.64869959;34.89642019;17.99106334;1394.30;68.78;76.64429577
100 uE;Sorokiniana;5;16.88;1458.315045;13.742738;0.003;35.40746991;0.000501646;1615.284265;1720.54508;75.8345276;2823.7242;931.0379;25.84151634;18.77845319;54.36811461;50.91823892;1394.30;68.78;48.21604205
100 uE;Sorokiniana;5;16.88;1601.732563;5.386423545;0.003;41.06822969;0.000501646;775.4313848;1558.167214;75.8345276;2823.7242;931.0379;40.7171313;10.183449;19.27143109;50.97801118;1394.30;68.78;62.25809495
100 uE;Sorokiniana;5;16.88;944.1924802;1.989777181;0.003;14.75069587;0.000501646;356.7521922;728.649489;75.8345276;2823.7242;931.0379;18.14102854;3.852269281;5.860926823;18.95953323;1394.30;68.78;40.75927528
100 uE;Sorokiniana;10;16.88;1097.472258;4.473787597;0.003;30.58747302;0.000501646;786.3901722;1396.814042;75.8345276;2823.7242;931.0379;13.96833177;12.08356539;28.22026882;23.27241372;1394.30;68.78;51.88893186
100 uE;Sorokiniana;10;16.88;1502.158488;9.061937163;0.003;41.15522308;0.000501646;1416.354185;1085.373501;75.8345276;2823.7242;931.0379;45.61682068;18.31627356;56.5490038;19.12194088;1394.30;68.78;66.34555399
100 uE;Sorokiniana;10;16.88;1385.994184;6.46795081;0.003;28.09539088;0.000501646;1099.426067;1597.364334;75.8345276;2823.7242;931.0379;19.37322751;14.47179842;33.8121609;20.84189447;1394.30;68.78;56.45198114
100 uE;Sorokiniana;20;16.88;1410.070388;4.99164875;0.003;30.33578599;0.000501646;738.4948085;1238.135764;75.8345276;2823.7242;931.0379;25.62716898;11.9535585;23.7753897;12.63008929;1394.30;68.78;52.38108426
100 uE;Sorokiniana;20;16.88;1459.238303;10.083811;0.003;28.67214536;0.000501646;1685.697505;1526.583387;75.8345276;2823.7242;931.0379;23.11874808;20.89455141;55.65420519;27.10886214;1394.30;68.78;64.76928324
100 uE;Sorokiniana;20;16.88;1360.243975;4.571379484;0.003;34.94108745;0.000501646;1785.501548;1352.348743;75.8345276;2823.7242;931.0379;25.85566172;31.26202745;100.9485781;24.83033562;1394.30;68.78;94.50621491
100 uE;Sorokiniana;40;16.88;845.4716079;11.58320023;0.003;22.45440379;0.000501646;986.2666895;792.1966711;75.8345276;2823.7242;931.0379;12.73628852;16.47365187;47.27366097;41.51350749;1394.30;68.78;64.43725662
100 uE;Sorokiniana;40;16.88;1106.348864;7.013207875;0.003;24.01655618;0.000501646;1013.375188;1080.509848;75.8345276;2823.7242;931.0379;39.78891863;28.24141305;59.94203059;47.82291967;1394.30;68.78;103.3659952
100 uE;Sorokiniana;40;16.88;1454.306729;10.4490474;0.003;37.97325435;0.000501646;994.6319472;1090.377946;75.8345276;2823.7242;931.0379;33.67540208;15.09690228;37.10732195;19.54403976;1394.30;68.78;77.92378319
100 uE;Ohadii;0;8.3;975.4646889;2.474556108;70.6224;35.12829638;667.5975;308.2887152;529.354583;3332000.004;10001305.4;546.4749;21.56189046;15.71706013;19.4977369;57.43255831;283.5;105.3;24.34639111
100 uE;Ohadii;0;8.3;957.4749047;4.538608766;70.6224;51.41552628;667.5975;144.4279353;337.2476056;3332000.004;10001305.4;546.4749;28.35920302;16.046649;17.24192962;37.92222446;283.5;105.3;42.41196232
100 uE;Ohadii;0;8.3;1128.756729;1.899751233;70.6224;51.27666452;667.5975;330.1029081;639.3019256;3332000.004;10001305.4;546.4749;16.535527;14.00558107;25.47255864;42.94982686;283.5;105.3;27.89679153
100 uE;Ohadii;5;8.3;887.9716532;3.471692395;70.6224;33.23646342;667.5975;247.8985157;541.0815082;3332000.004;10001305.4;546.4749;30.65399796;13.7745303;11.12787798;31.50663714;283.5;105.3;20.84865034
100 uE;Ohadii;5;8.3;752.756706;4.924195908;70.6224;26.08541047;667.5975;389.7943727;724.4777934;3332000.004;10001305.4;546.4749;34.28813593;24.74985076;32.93288595;70.76490594;283.5;105.3;20.8860877
100 uE;Ohadii;5;8.3;598.0848927;2.50590536;70.6224;20.37368076;667.5975;226.8732528;516.6441087;3332000.004;10001305.4;546.4749;13.05871695;9.143980818;17.34716744;53.23717358;283.5;105.3;20.18031702
100 uE;Ohadii;10;8.3;412.930396;5.535291882;70.6224;21.17738864;667.5975;147.4881458;339.6844435;3332000.004;10001305.4;546.4749;15.56944081;10.55586312;10.36570874;46.61963434;283.5;105.3;39.20650501
100 uE;Ohadii;10;8.3;433.7401752;2.22826924;70.6224;18.71755936;667.5975;123.95624;384.2997917;3332000.004;10001305.4;546.4749;13.71250665;13.02040113;17.66217692;42.49815943;283.5;105.3;30.60396303
100 uE;Ohadii;10;8.3;429.72825;3.282976383;70.6224;24.27987537;667.5975;137.811888;341.9948411;3332000.004;10001305.4;546.4749;11.40676802;12.02791065;16.65816548;39.19597337;283.5;105.3;31.74810526
100 uE;Ohadii;20;8.3;420.4690444;3.386142614;70.6224;36.48898773;667.5975;152.2691239;365.5519813;3332000.004;10001305.4;546.4749;21.06811122;11.62877441;11.24180231;73.96546311;283.5;105.3;76.06708066
100 uE;Ohadii;20;8.3;672.1732324;3.626738204;70.6224;56.01204588;667.5975;167.7315199;375.436831;3332000.004;10001305.4;546.4749;28.25068987;6.656514964;8.204833068;26.62947366;283.5;105.3;95.036509
100 uE;Ohadii;20;8.3;448.6933036;2.981185253;70.6224;27.09599212;667.5975;176.932361;372.2448008;3332000.004;10001305.4;546.4749;15.54880596;13.04111964;14.47899667;30.59503736;283.5;105.3;62.05588559
100 uE;Ohadii;40;8.3;561.7475052;7.148615321;70.6224;64.46806409;667.5975;263.2684936;500.2824906;3332000.004;10001305.4;546.4749;33.25510478;12.18667808;16.1689882;54.52215233;283.5;105.3;153.4298529
100 uE;Ohadii;40;8.3;594.236581;1.76972702;70.6224;63.28540344;667.5975;267.8165898;510.4441285;3332000.004;10001305.4;546.4749;26.76980364;15.28257873;16.05713;44.36665111;283.5;105.3;134.2188884
100 uE;Ohadii;40;8.3;577.9920431;1.601875453;70.6224;63.87673376;667.5975;265.5425417;505.3633096;3332000.004;10001305.4;546.4749;42.18399105;13.7346284;16.1130591;49.44440172;283.5;105.3;138.4928947
3000 uE;Ohadii;0;18.66096071;969.6551875;12.75563046;113.1841241;91.94154458;63.30460364;1263.084313;833.5510669;252.5565189;149.722152;95.97519928;23.06426021;32.89300897;62.28185353;16.12979719;1766.910115;81.14423656;121.7543504
3000 uE;Ohadii;0;8.417904136;725.4840478;12.03244609;97.29101267;74.92200415;51.13747999;1167.535117;499.724606;167.2607321;96.10356349;60.47455439;21.59289923;25.86863625;42.07145909;15.57613521;1571.171345;44.38300528;65.21811172
3000 uE;Ohadii;0;12.14683286;1022.416913;14.27499686;127.8231727;80.76494199;53.17043532;1052.676578;580.171445;117.1899304;64.2202724;70.36181126;66.18831833;21.17092727;33.04269556;16.7191883;1201.904511;66.22984755;105.1982107
3000 uE;Ohadii;5;12.59695509;810.6319252;9.355439989;98.8913699;68.43703672;71.86139028;917.7935502;641.6998063;175.6693756;103.6273375;55.86641221;14.04248311;29.12351204;55.42657073;13.4474623;1867.808409;56.76116793;66.11286672
3000 uE;Ohadii;5;11.6507622;815.7582881;13.90912618;97.86576238;38.14268789;37.39642861;773.2878713;382.6655495;130.2413636;44.13293921;50.47632183;54.94127822;13.46551587;26.87514459;9.695817723;1041.975448;54.2201365;67.50336199
3000 uE;Ohadii;5;12.62828357;750.2931588;10.74044147;139.8142021;55.98943228;59.64686474;1239.082073;528.578914;202.7256477;88.39707908;57.60841076;45.21345888;29.75503597;58.42971575;15.0958005;1634.868563;58.0953726;61.50064513
3000 uE;Ohadii;10;15.84240082;911.302622;12.56922684;113.9309605;48.86653426;65.68145474;1175.482575;688.5620273;192.1076189;99.37913928;56.52799048;35.98985488;22.6524643;47.55581219;19.93619002;2030.409889;52.17140546;63.88112955
3000 uE;Ohadii;10;16.72377987;849.5493576;11.28836391;120.4048075;48.80424637;36.24776949;852.9529268;400.4661661;185.1993295;53.78831581;63.40709942;53.8489983;14.99188428;19.34109061;12.77673431;1030.20492;63.93427521;95.76868576
3000 uE;Ohadii;10;19.79781628;930.7892259;20.1018648;175.3348776;60.4898777;73.62291047;1561.645513;696.1257244;292.8001264;156.18997;110.7600607;57.4710642;35.14888664;64.23767179;21.27955929;2135.850784;70.95967455;118.7392013
3000 uE;Ohadii;20;18.14855107;1019.144785;13.99103318;144.1119504;72.51638269;36.11444172;909.8264857;581.409951;138.8985243;68.45321307;67.93534336;45.75088471;19.17666794;33.28417359;19.32750076;1468.520321;62.61272535;118.3553626
3000 uE;Ohadii;20;21.28644872;1172.168913;13.0095129;175.5123026;82.96989423;51.07242952;1062.374632;564.2463587;255.276385;97.14160753;74.7389366;67.36517417;29.89243179;41.97359308;9.768346345;1535.478327;75.61001431;154.5478559
3000 uE;Ohadii;20;14.15645145;741.7455677;17.73495487;121.3312033;65.4378234;44.74539486;1227.392694;468.5201265;273.6836427;123.8260856;71.29408302;24.12312435;25.66934042;42.52671932;20.79961501;1318.580398;57.83004619;118.7168859
3000 uE;Ohadii;40;20.05832923;918.3022014;14.50588207;145.456546;70.08168358;49.25266554;920.9953641;485.620337;153.8242112;77.83344995;76.81452219;70.69615863;19.18420291;33.36183686;17.13053758;1354.33583;69.21263106;157.1023335
3000 uE;Ohadii;40;23.744787;932.7362275;15.73183799;148.8791769;63.87821551;47.75511411;1051.15044;422.5732164;249.6535752;86.80773868;104.5186971;83.90013224;21.39452976;31.91008173;10.34132709;1306.94036;93.22981019;190.2554682
3000 uE;Ohadii;40;21.19943371;1028.839992;11.8214209;110.3940334;79.57987697;48.44506249;1112.234641;430.7022503;261.7901605;78.0339345;95.92976;60.52616205;20.46397758;28.50223842;11.15110687;943.5827836;92.78080895;179.8117778
